Member id,SEC,FEH,MT,SEX,AGE,EDU,HS,CHILD,CS,Affluence Index,No. of Brands,Brand Runs,Total Volume,No. of  Trans,Value,Trans / Brand Runs,Vol/Tran,Avg. Price,Pur Vol No Promo - %,Pur Vol Promo 6 %,Pur Vol Other Promo %,"Br. Cd. 57, 144",Br. Cd. 55,Br. Cd. 272,Br. Cd. 286,Br. Cd. 24,Br. Cd. 481,Br. Cd. 352,Br. Cd. 5,Others 999,Pr Cat 1,Pr Cat 2,Pr Cat 3,Pr Cat 4,PropCat 5,PropCat 6,PropCat 7,PropCat 8,PropCat 9,PropCat 10,PropCat 11,PropCat 12,PropCat 13,PropCat 14,PropCat 15
1010010,4,3,10,1,4,4,2,4,1,2,3,17,8025,24,818.00,1.41,334.38,10.19,100%,0%,0%,38%,13%,0%,0%,0%,0%,0%,0%,49.2%,23%,56%,13%,7%,50%,0%,0%,0%,0%,0%,0%,3%,0%,13%,34%
1010020,3,2,10,2,2,4,4,2,1,19,5,25,13975,40,1681.50,1.60,349.38,12.03,89%,10%,2%,2%,8%,0%,0%,0%,6%,0%,14%,69.9%,29%,55%,9%,6%,46%,35%,3%,2%,1%,0%,6%,0%,0%,8%,0%
1014020,2,3,10,2,4,5,6,4,1,23,5,37,23100,63,1950.00,1.70,366.67,8.44,94%,2%,4%,3%,55%,0%,3%,0%,0%,0%,2%,37.9%,12%,32%,56%,0%,24%,12%,3%,1%,1%,0%,0%,2%,0%,56%,0%
1014030,4,0,0,0,4,0,0,5,0,0,2,4,1500,4,114.00,1.00,375.00,7.60,100%,0%,0%,40%,60%,0%,0%,0%,0%,0%,0%,0.0%,0%,40%,60%,0%,40%,0%,0%,0%,0%,0%,0%,0%,0%,60%,0%
1014190,4,1,10,2,3,4,4,3,1,10,3,6,8300,13,591.00,2.17,638.46,7.12,61%,14%,24%,5%,14%,0%,0%,0%,0%,0%,0%,80.7%,0%,5%,14%,81%,81%,0%,0%,5%,0%,0%,0%,0%,0%,14%,0%
1017020,4,3,10,2,3,4,5,2,1,13,3,26,18175,41,1705.50,1.58,443.29,9.38,100%,0%,0%,8%,7%,0%,0%,0%,0%,0%,0%,85.7%,22%,45%,7%,27%,49%,10%,0%,1%,7%,0%,0%,0%,0%,7%,27%
1017110,4,2,10,2,4,1,3,2,1,11,4,17,9950,26,1007.50,1.53,382.69,10.13,98%,2%,0%,45%,5%,1%,0%,0%,0%,0%,0%,49.5%,7%,66%,5%,23%,82%,0%,2%,1%,0%,0%,0%,0%,0%,5%,10%
1017160,4,3,10,2,2,4,5,3,0,0,3,8,9300,25,569.50,3.13,372.00,6.12,94%,0%,6%,4%,79%,0%,0%,0%,0%,0%,0%,16.7%,4%,4%,90%,2%,6%,0%,0%,0%,0%,0%,0%,1%,0%,90%,3%
1017360,4,3,10,2,4,4,6,4,1,17,2,12,26490,27,3113.50,2.25,981.11,11.75,90%,10%,0%,39%,0%,0%,0%,0%,0%,0%,0%,61.5%,11%,89%,0%,0%,70%,28%,0%,0%,2%,0%,0%,0%,0%,0%,0%
1017460,1,3,5,1,4,7,3,4,1,6,4,13,7455,18,990.50,1.38,414.17,13.29,100%,0%,0%,7%,12%,0%,0%,0%,0%,0%,40%,41.0%,61%,10%,12%,17%,24%,46%,15%,0%,0%,0%,0%,0%,0%,12%,3%
1017490,4,3,10,2,4,4,6,4,1,30,4,24,16275,42,1555.50,1.75,387.50,9.56,82%,17%,1%,2%,0%,0%,0%,0%,3%,0%,0%,94.3%,24%,15%,0%,60%,79%,0%,12%,0%,4%,1%,3%,0%,0%,0%,2%
1020070,3,3,10,2,1,4,5,4,1,18,4,21,13875,61,1547.75,2.90,227.46,11.15,99%,1%,0%,34%,8%,0%,0%,0%,0%,6%,0%,51.9%,41%,52%,8%,0%,44%,0%,42%,0%,4%,0%,0%,0%,0%,8%,2%
1020210,4,3,17,2,3,3,4,3,2,8,3,9,20675,26,1538.00,2.89,795.19,7.44,100%,0%,0%,3%,0%,0%,0%,0%,1%,0%,0%,95.5%,6%,3%,0%,91%,98%,1%,0%,0%,0%,0%,1%,0%,0%,0%,0%
1024050,4,3,17,2,3,3,6,4,1,10,4,10,15450,28,1275.50,2.80,551.79,8.26,100%,0%,0%,37%,32%,0%,0%,0%,0%,9%,0%,22.0%,0%,49%,32%,19%,59%,0%,9%,0%,0%,0%,0%,0%,0%,32%,0%
1024100,3,1,13,2,4,3,6,4,1,15,2,8,9150,25,917.00,3.13,366.00,10.02,100%,0%,0%,39%,0%,0%,0%,0%,0%,0%,0%,60.7%,3%,68%,8%,21%,63%,0%,5%,0%,0%,0%,0%,0%,0%,8%,24%
1024120,4,3,10,2,4,3,5,1,2,13,4,19,16050,50,1518.00,2.63,321.00,9.46,100%,0%,0%,18%,19%,0%,0%,0%,0%,27%,0%,35.8%,8%,65%,19%,7%,42%,2%,29%,0%,7%,0%,0%,1%,0%,19%,0%
1024220,4,3,10,2,4,3,4,4,0,11,7,28,19150,38,1914.00,1.36,503.95,9.99,89%,5%,6%,8%,11%,9%,9%,0%,0%,3%,2%,56.4%,9%,62%,11%,18%,49%,2%,7%,12%,3%,0%,0%,0%,0%,11%,16%
1024400,4,3,10,2,4,1,6,2,0,4,4,13,14625,31,1395.00,2.38,471.77,9.54,100%,0%,0%,61%,19%,0%,0%,0%,3%,0%,0%,17.1%,3%,70%,19%,7%,71%,3%,0%,0%,3%,0%,3%,0%,0%,19%,0%
1024630,4,3,17,2,3,4,5,2,1,14,3,12,14400,21,1308.50,1.75,685.71,9.09,92%,8%,0%,35%,6%,0%,0%,0%,0%,0%,0%,58.3%,0%,54%,6%,40%,86%,3%,0%,5%,0%,0%,0%,0%,0%,6%,0%
1025070,3,0,0,0,2,0,0,5,0,0,2,4,675,4,123.50,1.00,168.75,18.30,33%,67%,0%,0%,0%,0%,0%,11%,0%,0%,0%,88.9%,100%,0%,0%,0%,0%,0%,22%,0%,0%,33%,0%,33%,11%,0%,0%
1025140,4,0,0,0,2,0,0,5,0,0,2,4,6400,8,368.00,2.00,800.00,5.75,58%,0%,42%,0%,94%,0%,0%,0%,0%,0%,0%,6.3%,0%,0%,94%,6%,6%,0%,0%,0%,0%,0%,0%,0%,0%,94%,0%
1025210,2,3,17,2,2,5,5,2,1,4,3,3,7550,26,434.00,8.67,290.38,5.75,96%,0%,4%,1%,97%,0%,0%,0%,0%,0%,0%,1.3%,0%,1%,97%,1%,3%,0%,0%,0%,0%,0%,0%,0%,0%,97%,0%
1027040,4,3,10,2,3,4,7,4,1,11,3,4,32000,27,1864.00,6.75,1185.19,5.83,95%,1%,5%,0%,98%,0%,0%,0%,1%,0%,0%,0.9%,1%,1%,98%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,98%,0%
1027160,3,0,0,0,3,0,0,5,0,0,3,3,1600,4,111.00,1.33,400.00,6.94,100%,0%,0%,19%,75%,0%,0%,0%,0%,0%,0%,6.3%,6%,19%,75%,0%,19%,0%,0%,0%,6%,0%,0%,0%,0%,75%,0%
1027210,4,0,0,0,3,0,0,5,0,0,3,5,2825,5,300.00,1.00,565.00,10.62,100%,0%,0%,0%,53%,32%,0%,0%,0%,0%,0%,15.0%,15%,32%,53%,0%,0%,0%,8%,32%,7%,0%,0%,0%,0%,53%,0%
1027390,3,3,10,2,3,5,4,3,0,18,3,41,16730,67,2156.00,1.63,249.70,12.89,97%,0%,3%,16%,0%,0%,0%,3%,0%,0%,0%,81.8%,44%,34%,0%,22%,41%,4%,10%,27%,4%,0%,0%,4%,3%,0%,8%
1027480,4,1,4,2,4,4,7,4,0,9,2,3,10800,25,1141.00,8.33,432.00,10.56,100%,0%,0%,89%,0%,0%,0%,0%,0%,0%,0%,11.1%,2%,98%,0%,0%,98%,0%,0%,0%,2%,0%,0%,0%,0%,0%,0%
1027540,3,3,10,2,2,3,2,4,1,11,2,16,12425,39,1322.50,2.44,318.59,10.64,99%,1%,0%,68%,0%,0%,0%,0%,0%,0%,0%,32.4%,15%,80%,0%,4%,85%,0%,1%,0%,14%,1%,0%,0%,0%,0%,0%
1027580,4,3,10,2,2,4,6,3,1,13,3,13,10925,27,943.00,2.08,404.63,8.63,88%,3%,8%,12%,0%,0%,0%,0%,0%,1%,0%,87.2%,0%,35%,0%,65%,92%,0%,1%,8%,0%,0%,0%,0%,0%,0%,0%
1027680,4,0,0,0,2,0,0,5,0,0,2,2,6050,8,381.50,4.00,756.25,6.31,100%,0%,0%,13%,87%,0%,0%,0%,0%,0%,0%,0.0%,0%,13%,87%,0%,13%,0%,0%,0%,0%,0%,0%,0%,0%,87%,0%
1027720,4,1,10,2,4,4,4,2,2,4,2,2,15100,24,865.00,12.00,629.17,5.73,100%,0%,0%,0%,95%,0%,0%,0%,0%,0%,0%,4.6%,0%,0%,95%,5%,5%,0%,0%,0%,0%,0%,0%,0%,0%,95%,0%
